Spice Terrace,4.2
Hard Rock Cafe,4.4
7 Rivers Brewing Co.,4.3
Skydeck By Sherlocks,4.3
The Biere Club,4.3
Sanchez,4.3
SodaBottleOpenerWala,4.3
Farzi Cafe,4.3
Jeeveshu Ahluwalia Live,5
Chin Lung Restobar,4.2
Sriracha,4.4
Cantan - Chinese Bar House,4.6
Cafe Noir,4.4
Toscano,4.5
Ozaa - Mediterranean Grills,4.4
Shiro,4.3
The Village - Bangalore,4.2
The Merak Brewhouse,3.9
Le Bistro,4
Pizza Stop,5
Smoke House Deli,4.4
The Bangalore Cafe,4.3
Soul City,3.8
KA 01,4.1
Mainland China,4.2
Raahi,4
Coastal Machali Co,4.4
Matsuri,4.3
Cafe Azzure,4.3
Spice It,3.7
Spiceklub,4.2
Mirage,4.2
Leon's Burgers and Wings,4.1
Nandhini Deluxe,4
South Parade,4
LifeTree (Inspired Vegetarian Cuisine),4.3
Bangalore Brew Works,4.4
Alchemy,4
Quattro Ristorante,4.5
Sweet Chariot,4
Green Theory,4.4
No. 10 Fort Cochin,3.6
Beijing Bites,4.3
Hoppipola,4.2
Cafe Treat,4
Empire Restaurant,4
Anupam's Coast II Coast,4.5
Tandoor,3.8
The Bier Library Brewery & Kitchen,4.4
ASEAN - On The Edge,4.4
Ebony,4.4
The 13th Floor,4.4
Empire Restaurant,4.3
Cafe Rustico,4.5
Just BLR,4.3
Tea and Wine Lounge,4.3
ShakesBierre,4.3
Imperial Restaurant,3.9
Kanti Sweets,4.1
Kanti Sweets,4.7
Tandoori Wok,3.9
Le Rock,4
Sreeraj Lassi Bar,5
Tea Trails,4.1
Fuel Resto Bar,3
Sreeraj Lassi Bar,4
Burnout Cafe,3.8
Wolf'ish,4.1
The Black Pearl,4
Skylit,4.3
Paakashala,4.1
Green Onion,4.3
Imperial Restaurant,4.1
Subway,4.8
Ayda Persian Kitchen,3.5
Hotel Fishland,4.6
The Courtyard,3.8
Mad Over Donuts,4.3
Blue Bar,4.5
RS Shiv Sagar,4.2
California Burrito,4.6
The BARN,4.2
Tiger Trail,3.8
Pasta Street,4.5
Dolci,4
Subz,4.3
Empire Restaurant,3.9
Hotel Fishland,4
Cold Stone Creamery,3.7
The London Curry House,4.4
Dindigul Thalappakatti,3
b Café,4.4
Juice Junction,5
Kanti Sweets,4
Ssaffron,4.5
Sreeraj Lassi Bar,4.3
Sweet Chariot,3
Khan Saheb Grills and Rolls,4
Shaken & Stirred,4.2
Ging,4.4
The Lobby Lounge,4.7
Hotel Fanoos,2.8
Shang Palace,4.3
Bareerah Multicuisine Restaurant,4.1
Kanti Sweets,3.9
Atlas World Cafe,4.2
Kanti Sweets,4.1
The Kabab Studio,4
Spice Cove,3.8
Chianti,4.6
Lush,4.3
Sana-Di-Ge,4
Nandhini Deluxe,3.4
Sreeraj Lassi Bar,5
Richie Rich,4.2
Orchid,4
Empire Restaurant,3.8
R Bar,4.3
Pinxx,3.9
Imperial Restaurant,3.6
Lassi Shop,4
Tiamo,4.2
Desserted Cafe,4.1
Dindigul Thalappakatti,4.4
i-BAR,4.2
Yauatcha,4.6
Daddy,4.2
Glacier - The Lounge Bar,4.5
Mani's Dum Biryani,4.5
Aqua,4
The Bengaluru Brasserie,4.5
Stegi,4.2
Night Owl Sky Lounge,4
Urban Solace,4.8
World on a Plate,4.2
Carnival De Goa,4
The Lobby Brew,4.3
Monsoon,3.9
Barbeque Nation,4.4
Thanco's Natural Ice Cream,3.7
C Sharp Kitchen,1
Sandwichwallas,5
Khandani Rajdhani,4.1
Cold Stone Creamery,5
Mad Over Donuts,4.5
Subway,5
Taco Bell,4.5
Street Storyss,4.4
The Asian Curry House,4.3
California Burrito,4.3
Olive Tree,4.3
Hotel Karavali Beach,2.7
Barbecue By Punjab Grill,4
Sreeraj Lassi Bar,1
Elements Eatery,4.1
Nandhini Deluxe,3.9
Beijing Bites,4.3
Sampurna,3.8
Sigdee,4
Chocolate Philosophy,4.3
Boho,4
Lassi Shop,3
Board 4 Bored,4.4
Indotalian II Cafe,4.6
Steaming Mugs,4.3
Toscano,4.3
Kanti Sweets,4.2
Thanco's Natural Ice Cream,4.2
Shruti Delicacy,5
Barbeque Nation,4.3
Chutney Chang,4.1
Empire Restaurant,4
Gokul Veg,4.2
Via Milano,4.6
21st Amendment Gastrobar,4.1
Salt,4.4
Three Dots and A Dash,4.1
Frozen Bottle,3.3
Juice Junction,4.3
Subway,4.6
Gullu's Chat,2
Golden Oak,4.2
Khan Saheb Grills and Rolls,2.8
Ramji Chaiwale,4.3
Juice Junction,4.3
The Big Bellyz,4.5
Cafe Mondo,4
The Royal Corner,4.2
Sreeraj Lassi Bar,5
Tipsy Bull - The Bar Exchange,3.9
Bamey's Restro Cafe,4.5
Fogg Sheesha Lounge,4.1
Aubree,3.8
Biergarten,4.4
Kanti Sweets,4.8
Bologna,4.5
Aubree,4.6
Chinita Real Mexican Food,4.6
Smoor,4.6
Punjab Mail,3.5
Haji Ali Juice Centre,3
Chianti,4.6
Curry Leaves,4.3
K-OS The Game Bar,4.3
Gam's Delicacy,4.5
Clean Slate Cafe,4.4
Gufha,4.2
Shree Mahalakshmi Sweets,2.7
Fanoos,3
Tarbouche,4
The Fatty Bao - Asian Gastro Bar,4.5
Maravanthe,4.5
1131 Bar + Kitchen By House of Commons,4.2
Plan B,3.4
Frozen Bottle,4.9
Khan Saheb Grills And Rolls,3.9
Kanti Sweets,4.5
Sandwichwallas,3.3
Empire Restaurant,4.2
Fanoos Xprss,5
Hungry B,4.3
Brews N Bites,5
Tycoons - Fine Dine and Retro Bar,4.5
Kanti Sweets,4.3
Savoury,4.2
Shalimar Bar & Restaurant,4.5
Haagen-Dazs,4
Smoke - The Sizzler House,3.9
White Fog,4.4
Chaatimes,4
Northwest Kebab and Curyhouse,4.5
Paakashala,4
Nando's,4.4
Doff Pub And Lounge,4.4
The Punjabi Rasoi,4.2
Sweet Chariot,4
Simon Says Brew Works,4.1
Imperial Restaurant,3.9
XOOX Brewmill,4.1
Plan B,4.3
Dhwani,4.4
Uru Brewpark,4.4
Bangaliana,3.8
5th Avenue Cafe,4.2
Raaga,4
Sultans Of Spice,4.5
Little Italy,4.2
154 Breakfast Club,4.3
California Burrito,4.5
Subway,4.5
Mani's Dum Biryani,4.5
Cream N Cha,3.7
Leon's Burgers and Wings,4.2
Chianti,4.5
Onesta,4.3
Kudla Beach,3.5
Kanti Sweets,4.3
Saara's Cafe,3.8
Drunkling Sizzlers & Pub,4.1
Buff Buffet Buff,4.3
Sharief Bhai,4.3
Candy Cloud Factory,4.3
Mumbai Xpress,4.3
Smoor,4.7
Sweet Chariot,4.3
Szechuan Dragon,4.2
Jamavar,4.6
Fiero! Pizzeria,3.8
The Tilt Bar Republic,4.1
Bombay Adda,3.6
Pabrai's Fresh & Naturelle Ice Creams,4.3
Sharief Bhai,3.9
Pasta Street,4.5
Chinita Real Mexican Food,4.6
Glen's Bake House,4.4
Chetty's Corner,4.3
Bistro Oui,4.3
Anupam's Coast II Coast,4.4
Tipsy Bull - The Bar Exchange,4.3
The T Cafe,4.4
Citrus,4.4
Sandhya Veg,4.3
Vapour Pub and Brewery,4.1
Empire Restaurant,3.6
GOPIZZA,4
Saara's Grill and Spice,3.5
Nanav Store and Cafe,4.7
BumbleBee Brauhaus,4
Kanti Sweets,4.7
Cafe Medley,4.4
Nuage,4.3
Brooks and Bonds Brewery,4.1
Gawky Goose,4.5
Roast 'N' Frost,5
Imperial Restaurant,3.9
Flavours Of India,3.8
Imli Cafe N Restaurant,4
Beijing Bites,4.5
Dindigul Thalappakatti,4.4
Smoke House Deli,4.4
Pizza Hut,4.2
Shaap,4
Anjappar Chettinad,3.9
Empire Restaurant,4.1
Sidewalk Café & Bar,4.5
Bohemians,3.7
30 Square,3.4
Kobe Sizzlers,4.2
Taco Bell,4.4
Barbeque Nation,4.4
Kund Indian Barbeque,4.1
CUR8,4.7
Brownie Heaven,4.5
Kobe Sizzlers,4.2
Big Pitcher,4.5
Gelateria Montecatini Terme,4.3
Brew Meister,4.2
Vembanad,4.5
The Reservoire,4.3
Waffle Stories,4.4
Leon's Burgers and Wings,3.9
Nevermind - Bar & Social,4.2
Lassi Bistro,5
Kargeens,4.1
Pluto's,4.1
The Lobby Lounge and Terrace,4.7
Rumi,4.2
Via Milano,4.2
Kudla - Coral Tree By GoldFinch,3.8
Kanti Sweets,5
Far and East,4.7
1522 - The Pub,4.4
Dhaba Estd 1986 Delhi,4.1
Mad Over Donuts,3.9
Cafe Grey By Dongle & Co,4.4
Sanchez Taqueria And Cantina,4.4
1947,3.8
Juice Junction,3
Lassi Shop,3
The Pizza Bakery - Indiranagar,4.5
Pizza Stop,3.8
Imperial Restaurant,3.7
Khan Saheb Grills and Rolls,3.9
Anjappar Chettinad,4
Sly Granny,4.4
UpSouth,1
China Bistro,4.4
Pot Biryani,4.3
Nasi and Mee,4.5
Sandwichwallas,5
Sriracha Robata & Contemporary Pan Asian Dining,4.1
Rolls On Wheels,4.4
Fusion Theory,4.3
Frozen Bottle,4.2
Geometry Brewery and Kitchen,4.2
Tiger Trail,4.2
Kanti Sweets,4.7
Lono - The Tropical Lounge,4.3
TLP Cafe,3.2
Kanti Sweets,4.1
Shree Mahalakshmi Sweets,4.3
Curry Leaves,3.9
Qissa,4.4
Kanti Sweets,4.9
Fill n Chill,3.9
Wok & Talk,2.5
Qube Cafe,4.5
South Ruchis,4.5
Shree Mahalakshmi Sweets,4.4
Thanco's Natural Ice Cream,3
Pasta Street,4.5
Purple Bar,4.3
Kanti Sweets,5
Cilantro,4
Chakh Le,5
Shree Mahalakshmi Sweets,4.3
Zen,4.5
Shake It Off,4.5
Sayaam Kitchen,4.3
Empire Restaurant,4.1
Kanti Sweets,4.3
NH8,4
The Higher Taste,4.3
Leon's Burgers and Wings,4.6
House of Commons,4.3
Potful,3.3
Khandani Rajdhani,4
Kanti Sweets,4.3
California Burrito,4.5
Mitti Cafe - Enerjuvate,4.1
Mani's Dum Biryani,4.2
Kanti Sweets,4.4
Nando's,4.4
Mood For Food,4.3
Gokul Veg,4
Hotel The Emirates,5
Frozen Bottle,5
Call Me Chow,1
Pizza Hut,4.2
Jetlag,3.9
Beijing Bites,4
Shanmukha Restaurant,4.3
Lassi Shop,4.3
Onesta,4.2
Gurukrupa Paratha House,3.5
Imperial Restaurant,4.2
Chai Nagri,4.1
You Mee,4.4
Toscano,4.4
Kanti Sweets,4.2
Hammered,4.1
B-hive Pub,4.2
Khandani Rajdhani,4.2
Roots,4.4
Stories Bar and Kitchen,4.2
12th Main,4
Dineout SteppinOut Night Market | Bangalore,4.3
Kanti Sweets,4.3
KLINX,4.4
Gillys Resto-Bar,4.2
Dindigul Thalappakatti,4.4
Punjab Grill,4
The Persian Terrace,4.3
California Burrito,4.5
Shree Mahalakshmi Sweets,3.5
Beijing Bites,4.2
Hot Griddle,4.1
The World Cafe,4
The Punjabi Rasoi,3.8
Cafe Noir,4.3
LIT Gastro Pub,3.4
Vinny's,4.2
Crepito,4
Frozen Bottle,5
La Pino'z Pizza,3.8
Zhangs Chinese Restaurant,4.5
Jcubez,3.8
Chili's American Grill and Bar,4.1
Gallop Bar,4.2
Pizza Stop,3
Feast,4.2
Express By AB's,4.3
Sreeraj Lassi Bar,5
Cable Car,4.1
Subway,4.1
Chetty's Corner,4.3
Kanti Sweets,5
Stoned Monkey,3.6
Mockaholic Restro Beer Cafe,4.2
Rolls On Wheels,3.7
Connie's Steakhouse & Wine Bar,4.4
Hydeout Bar and Lounge,4
Waffle Stories,3.7
Beijing Bites,4.3
Baf's Cafe,4.8
Cream Artisan,4.2
Kanti Sweets,4.6
Grill Daddy,4.4
Khmer Kitchen,4.5
Stories Bar and Kitchen,4.1
Kanti Sweets,3.6
Barbeque Nation,4.2
Kanti Sweets,4.5
Napoli Italian Bistro,4.3
Stories Brewery and Kitchen,4.3
Empire Restaurant,3.8
Dr Sheesha,4.2
Levels Pub & Kitchen,4.3
Three Dots and A Dash,4.2
Altitude Kitchen & Bar,4.3
Tangerine - Davanam Sarovar Portico Suites,3.7
Subway,3.5
Ferment,4.1
Shahi Family Restaurant,4.3
Dr Sheesha,3.9
Gilly's Resto-Bar,4.1
Savoury,4.4
Sreeraj Lassi Bar,1
Nouvelle Garden - The Ambient Turret,3.6
1522 - The Pub,4.4
Mani's Dum Biryani,4.6
Empire Restaurant,3.8
Royal Calcutta,5
Antra Veg.,4.4
Frozen Bottle,3.8
Kanti Sweets,4.7
Frozenheit6,3
1947,4.2
Kunafa Lounge,1
Sherlock's Pub,4
Kobe Sizzlers,4.1
Chai Central,4.3
Hotel Godavari,2.3
Thanco's Natural Ice Cream,2.6
The Bel Resto Cafe,3.9
Paakashala,4.5
Hatti Punjab Di,3.3
Punjabi Swag,3.8
Just Shawarma,3.5
Chin Lung Restobar,3.9
The Elephant Bowl Resto Cafe,5
Pingara,3.5
Barbeque Nation,4.3
Thanco's Natural Ice Cream,3.9
Subway,4.3
Thanco's Natural Ice Cream,5
Chaatimes,4.3
1522 - The Pub,4.4
Float Brewery,4.2
Sagar,2
Drunken Monkey,5
Kanti Sweets,4.3
Sandwichwallas,1
Smokey Garage Cafe,3.9
Kanti Sweets,4.7
Checkpost,3.6
Hammered,4.1
Spicy Platter,3.3
Nandhini Deluxe,3.3
Cream & Fudge,3.8
55 Wall Street,4.1
Barbeque Nation,4.4
Saaga,4.2
Tipsy Bull - The Bar Exchange,4.2
Two Friends Cauldron,4.4
Pizza Hut,4.3
Taco Bell,4.2
California Burrito,3.6
ABs - Absolute Barbecues,4.3
Kanti Sweets,4.7
California Burrito,4.4
Healthy Fuel,5
Rusty's,4.3
Jain Bakes,4.3
Ulta Tawa,4
Cafe Idly,4.3
Arabian Hot Spot,4.1
Bombay Chowpaty Kulfi,4.3
Paakashala,4.2
Dialogues Cafe,4.2
Caffe Pascucci,4.3
1947,4.1
Churn,4.8
Kargeens,4
Nandhini Deluxe,3.8
Pizza Hut,4.3
Kanti Sweets,4.4
Brewklyn Microbrewery,4.3
Based On A True Story - Bistro,4.4
Nazaara,4.1
Mad Over Donuts,3.9
Limitless Bar & Kitchen,4.4
Onesta,4.1
Beijing Bites,4.2
Burp,4.3
Lassi House,4
Three Monkeys Brewpub,4.2
Pavilion Multicuisine Restaurant,4.2
Kanti Sweets,4.7
Turquoise,3.6
AQNI,3.3
Dark Mandala Art Cafe,3.9
Swagatham Rayalaseema Ruchulu,4.5
Barbeque Nation,4.3
Flow 22 Lounge,4.1
Chameleon Lounge Bar,4
Pizza Stop,4
Gilly's Resto-Bar,4.2
92 Cafe Colony,3
Cafe Pink Pajamas,4.2
Pepper & Pesto,4.3
Recipe,4.6
Mint Magic,3.8
Cafe Mandala,3.9
Tex-Mex Grill,4.1
Dunkin' Donuts,4.5
Cafe Coco,4
California Burrito,4.4
Writer's Cafe,3.8
Taco Bell,3.8
Don’t tell Mama,4
Shree Mahalakshmi Sweets,4.3
Cafe Kaffea,3.9
Venus Bar & Restaurant,4.4
Beijing Bites,4
Leon's Burgers and Wings,4.7
Brother's Barley Brewing Company,3.9
Frozen Bottle,3.4
Frozen Bottle,3.9
Kanti Sweets,4.5
Hotel Kandhasamy,4.1
The Lassi Corner,1.6
Onesta,4.2
ABs - Absolute Barbecues,4.2
Vinny's,3.4
Public The Rooftop Bar & Kitchen,4
Kanti Sweets,4.2
Dindigul Thalappakatti,3.9
Express By AB's,3.6
Sikori,3.7
Wanderers - Craft Brewery and Artisan Cafe,4.2
Hunger Camp,4.3
Leon's Burgers and Wings,3.6
Chaat Street,3.5
Grabbit Snackkit,4.3
Shift,4.1
Empire Restaurant,3.8
Kanti Sweets,4.7
"Oyster, Bar and Kitchen",4.1
Sichuan,4.1
Daawat Restaurant Bar & Pub,4.3
Express Cafe,4.1
Kanti Sweets,4
Chef Baker's,4.3
Sreeraj Lassi Bar,4.3
Chaatimes,4.3
Kanti Sweets,4.5
Empire Restaurant,3.9
IceBreakers,4.6
Vasudev Adiga's,4.3
Guntur Spice,4
Thanco's Natural Ice Cream,3.3
Marhaba,4.3
Broadway - The Gourmet Theatre,4.3
Kanti Sweets,4
Fruit Face,4.3
Shanghai Times,4.3
Dindigul Thalappakatti,4.4
The Hebbal Cafe,4.1
Frozen Bottle,4.3
Anjappar Chettinad,3.7
Imperio Restaurant,3.5
Pippali,4
Frozen Bottle,4.3
Parika Seafood,4.2
Go Italia,4.1
Leon's Burgers and Wings,1.7
Kanti Sweets,4.4
Kanti Sweets,4.5
B'lore 45 The Bar,4.1
